country,capital
France,Paris
Germany,Berlin
Italy,Rome
Spain,Madrid
Portugal,Lisbon
Norway,Oslo
Sweden,Stockholm
Finland,Helsinki
Denmark,Copenhagen
Poland,Warsaw
Austria,Vienna
Hungary,Budapest
Belgium,Brussels
Greece,Athens
Ireland,Dublin
Switzerland,Bern
Bulgaria,Sofia
Romania,Bucharest
Slovakia,Bratislava
Slovenia,Ljubljana
Croatia,Zagreb
Serbia,Belgrade
Albania,Tirana
Montenegro,Podgorica
Latvia,Riga
Estonia,Tallinn
Lithuania,Vilnius
Russia,Moscow
Ukraine,Kyiv
Turkey,Ankara
Georgia,Tbilisi
Armenia,Yerevan
Azerbaijan,Baku
Iran,Tehran
Iraq,Baghdad
Syria,Damascus
Lebanon,Beirut
Israel,Jerusalem
Jordan,Amman
Egypt,Cairo
Libya,Tripoli
Tunisia,Tunis
Algeria,Algiers
Morocco,Rabat
Senegal,Dakar
Gabon,Libreville
Zambia,Lusaka
Uganda,Kampala
Tanzania,Dodoma
Rwanda,Kigali
Kenya,Nairobi
Namibia,Windhoek
Botswana,Gaborone
Angola,Luanda
Mozambique,Maputo
Malawi,Lilongwe
Ghana,Accra
Togo,Lome
Niger,Niamey
Chad,Ndjamena
Sudan,Khartoum
Yemen,Sanaa
Oman,Muscat
Qatar,Doha
Bahrain,Manama
Pakistan,Islamabad
India,Delhi
Nepal,Kathmandu
China,Beijing
Japan,Tokyo
Taiwan,Taipei
Thailand,Bangkok
Vietnam,Hanoi
Brunei,Bandar
Philippines,Manila
Australia,Canberra
Fiji,Suva
Samoa,Apia
Tonga,Nuku'alofa
Canada,Ottawa
Mexico,Mexico
Panama,Panama
Honduras,Tegucigalpa
Guatemala,Guatemala
Belize,Belmopan
Paraguay,Asuncion
Uruguay,Montevideo
Brazil,Brasilia
Chile,Santiago
Bolivia,Sucre
Ecuador,Quito
Peru,Lima
Colombia,Bogota
Venezuela,Caracas
