plural,singular
ants,ant
apes,ape
alligators,alligator
bats,bat
bees,bee
bears,bear
birds,bird
buffaloes,buffalo
butterflies,butterfly
camels,camel
cats,cat
caterpillars,caterpillar
cattle,cow
chameleons,chameleon
cheetahs,cheetah
chickens,chicken
chimpanzees,chimpanzee
cicadas,cicada
cows,cow
crabs,crab
crows,crow
deer,deer
dogs,dog
dolphins,dolphin
donkeys,donkey
ducks,duck
eagles,eagle
earthworms,earthworm
elephants,elephant
emus,emu
falcons,falcon
foxes,fox
frogs,frog
geese,goose
giraffes,giraffe
goats,goat
goldfish,goldfish
gorillas,gorilla
grasshoppers,grasshopper
hamsters,hamster
hedgehogs,hedgehog
hippopotamuses,hippopotamus
horses,horse
hummingbirds,hummingbird
hyenas,hyena
iguanas,iguana
jellyfish,jellyfish
kangaroos,kangaroo
koalas,koala
ladybugs,ladybug
lemurs,lemur
leopards,leopard
lions,lion
lizards,lizard
lobsters,lobster
mammoths,mammoth
mice,mouse
moles,mole
monkeys,monkey
moose,moose
mosquitoes,mosquito
newts,newt
octopuses,octopus
ostriches,ostrich
otters,otter
owls,owl
oxen,ox
pandas,panda
parrots,parrot
peacocks,peacock
pelicans,pelican
penguins,penguin
pheasants,pheasant
pigeons,pigeon
platypuses,platypus
porcupines,porcupine
porpoises,porpoise
possums,possum
prawns,prawn
rabbits,rabbit
raccoons,raccoon
rats,rat
rattlesnakes,rattlesnake
ravens,raven
reindeers,reindeer
salamanders,salamander
salmon,salmon
scorpions,scorpion
seahorses,seahorse
seals,seal
sharks,shark
sheep,sheep
shrimp,shrimp
skunks,skunk
sloths,sloth
snails,snail
snakes,snake
sparrows,sparrow
spiders,spider
squid,squid
squirrels,squirrel
starfish,starfish
stingrays,stingray
stoats,stoat
swans,swan
tadpoles,tadpole
tarsiers,tarsier
tigers,tiger
toads,toad
turkeys,turkey
turtles,turtle
vultures,vulture
wasps,wasp
whales,whale
wolves,wolf
wombats,wombat
woodpeckers,woodpecker
wrens,wren
yaks,yak
zebras,zebra
