plural,singular
cars,car
buses,bus
trucks,truck
planes,plane
boats,boat
bicycles,bicycle
phones,phone
computers,computer
keyboards,keyboard
monitors,monitor
chairs,chair
tables,table
lamps,lamp
cups,cup
plates,plate
forks,fork
knives,knife
spoons,spoon
glasses,glass
bottles,bottle
bags,bag
boxes,box
doors,door
windows,window
mirrors,mirror
pictures,picture
clocks,clock
watches,watch
pens,pen
pencils,pencil
erasers,eraser
papers,paper
books,book
magazines,magazine
newspapers,newspaper
folders,folder
files,file
notebooks,notebook
sofas,sofa
beds,bed
pillows,pillow
blankets,blanket
rugs,rug
curtains,curtain
keys,key
coins,coin
notes,note
rings,ring
necklaces,necklace
cats,cat
dogs,dog
horses,horse
cows,cow
pigs,pig
sheep,sheep
goats,goat
chickens,chicken
ducks,duck
geese,goose
mice,mouse
rats,rat
birds,bird
fish,fish
sharks,shark
whales,whale
dolphins,dolphin
elephants,elephant
lions,lion
tigers,tiger
bears,bear
wolves,wolf
foxes,fox
rabbits,rabbit
squirrels,squirrel
hamsters,hamster
frogs,frog
toads,toad
snakes,snake
lizards,lizard
spiders,spider
insects,insect
bees,bee
butterflies,butterfly
moths,moth
ants,ant
flies,fly
mosquitoes,mosquito
cockroaches,cockroach
jellyfish,jellyfish
octopuses,octopus
starfish,starfish
crabs,crab
lobsters,lobster
shrimp,shrimp
clams,clam
apples,apple
bananas,banana
oranges,orange
grapes,grape
berries,berry
strawberries,strawberry
blueberries,blueberry
raspberries,raspberry
tomatoes,tomato
potatoes,potato
carrots,carrot
onions,onion
peppers,pepper
lettuces,lettuce
cucumbers,cucumber
zucchinis,zucchini
mushrooms,mushroom
eggs,egg
meats,meat
cheeses,cheese
breads,bread
loaves,loaf
sandwiches,sandwich
burgers,burger
pies,pie
cakes,cake
cookies,cookie
candies,candy
chocolates,chocolate
sugars,sugar
salts,salt
spices,spice
herbs,herb
drinks,drink
juices,juice
coffees,coffee
teas,tea
waters,water
beers,beer
wines,wine
men,man
women,woman
children,child
people,person
feet,foot
teeth,tooth
oxen,ox
cacti,cactus
fungi,fungus
nuclei,nucleus
syllabi,syllabus
phenomena,phenomenon
criteria,criterion
data,datum
media,medium
memoranda,memorandum
alumni,alumnus
bacteria,bacterium
wives,wife
lives,life
leaves,leaf
loaves,loaf
universities,university
companies,company
factories,factory
industries,industry
countries,country
cities,city
villages,village
mountains,mountain
rivers,river
oceans,ocean
islands,island
forests,forest
deserts,desert
lakes,lake
valleys,valley
continents,continent
buildings,building
houses,house
apartments,apartment
rooms,room
schools,school
colleges,college
hospitals,hospital
libraries,library
churches,church
temples,temple
mosques,mosque
gyms,gym
stadiums,stadium
theaters,theater
museums,museum
parks,park
gardens,garden
zoos,zoo
farms,farm
markets,market
shops,shop
stores,store
restaurants,restaurant
cafes,cafe
bakeries,bakery
offices,office
employees,employee
bosses,boss
managers,manager
doctors,doctor
nurses,nurse
teachers,teacher
students,student
engineers,engineer
lawyers,lawyer
judges,judge
policemen,policeman
firefighters,firefighter
artists,artist
scientists,scientist
writers,writer
musicians,musician
painters,painter
actors,actor
dancers,dancer
players,player
athletes,athlete
drivers,driver
singers,singer
reporters,reporter
photographers,photographer
designers,designer
programmers,programmer
developers,developer
builders,builder
farmers,farmer
cooks,cook
chefs,chef
waiters,waiter
cleaners,cleaner
technicians,technician
barbers,barber
plumbers,plumber
electricians,electrician
mechanics,mechanic
tailors,tailor
authors,author
publishers,publisher
neighbors,neighbor
friends,friend
strangers,stranger
guests,guest
hosts,host
passengers,passenger
customers,customer
clients,client
members,member
leaders,leader
followers,follower
citizens,citizen
residents,resident
voters,voter
soldiers,soldier
officers,officer
criminals,criminal
prisoners,prisoner
antennae,antenna
appendices,appendix
matrices,matrix
vertices,vertex
indices,index
axes,axis
theses,thesis
parentheses,parenthesis
hypotheses,hypothesis
diagnoses,diagnosis
synopses,synopsis
ellipses,ellipsis
crises,crisis
curricula,curriculum
genera,genus
stimuli,stimulus
algae,alga
larvae,larva
automata,automaton
syntheses,synthesis
oases,oasis
corpora,corpus
opera,opus
vitae,vita
pence,penny
dice,die
aircraft,aircraft
hovercraft,hovercraft
spacecraft,spacecraft
species,species
series,series
means,means
headquarters,headquarters
gallows,gallows
radii,radius
strata,stratum
henchmen,henchman
salespeople,salesperson
spokesmen,spokesman
chairmen,chairman
businessmen,businessman
gentlemen,gentleman
alumnae,alumna
phenotypes,phenotype
archetypes,archetype
blues,blue
reds,red
greens,green
whites,white
yellows,yellow
lights,light
shoes,shoe
socks,sock
shirts,shirt
pants,pant
hats,hat
gloves,glove
scarves,scarf
jackets,jacket
bowls,bowl
pans,pan
pots,pot
fruits,fruit
vegetables,vegetable
toys,toy
games,game
balls,ball
bats,bat
helmets,helmet
paintings,painting
photos,photo
drawings,drawing
sculptures,sculpture
plants,plant
flowers,flower
bushes,bush
rocks,rock
stones,stone
hills,hill
seas,sea
woods,wood
plains,plain
fields,field
meadows,meadow
canyons,canyon
